group,name,runs,tokens,agent_hours
milestone,planning,4,483568,0.24
milestone,M0,4,666789,0.63
milestone,M1,1,322569,0.42
milestone,M2,10,3653978,3.53
milestone,M6,3,483673,0.5
milestone,M3,1,300238,0.72
milestone,M4,1,540229,0.81
milestone,M7,35,5249741,5.85
milestone,M5,16,3921225,6.11
milestone,D21,3,517122,0.7
milestone,D22,1,126183,0.18
kind,research,4,483568,0.24
kind,tooling,16,2943274,3.82
kind,engine,4,1448628,1.86
kind,history,2,144661,0.07
kind,porting,10,3653978,3.53
kind,art-prep,5,1680029,2.13
kind,integration,1,300238,0.72
kind,playtest,10,2720869,4.59
kind,review,25,2303505,1.92
kind,triage,2,586565,0.81
