delivery,file,room,model,passes,delivered_eastern,verdict,judged_eastern,state,category
20260925-004039-greg-0002,design/papers/FORM1-QX-17-T.png,,Sol,,2026-09-24 20:40,20260925-004333-norm-0003,2026-09-24 20:43,approved,
20260925-004039-greg-0002,design/papers/FORM1-QX-17-T@VALIDATED.png,,Sol,,2026-09-24 20:40,20260925-004333-norm-0003,2026-09-24 20:43,approved,
20260925-004039-greg-0002,design/papers/FORM2-JZ-59-G.png,,Sol,,2026-09-24 20:40,20260925-004333-norm-0003,2026-09-24 20:43,approved,
20260925-004039-greg-0002,design/papers/FORM3-HB-56-V.png,,Sol,,2026-09-24 20:40,20260925-004333-norm-0003,2026-09-24 20:43,approved,
20260925-005152-greg-0004,design/style/STYLE-duffy.png,,Sol,,2026-09-24 20:51,20260925-005325-norm-0007,2026-09-24 20:53,approved,
20260925-005152-greg-0004,design/style/STYLE-command-module.png,,Sol,,2026-09-24 20:51,20260925-005325-norm-0007,2026-09-24 20:53,approved,
20260925-005152-greg-0004,design/style/STYLE-village.png,,Sol,,2026-09-24 20:51,20260925-005325-norm-0007,2026-09-24 20:53,approved,
20260925-005152-greg-0004,design/style/STYLE-floyd-evil.png,,Sol,,2026-09-24 20:51,20260925-005325-norm-0007,2026-09-24 20:53,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-1.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,changes-paint,content
20260925-010322-greg-0008,design/papers/BLUEPRINT-2.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,changes-paint,content
20260925-010322-greg-0008,design/papers/BLUEPRINT-3.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,changes-paint,content
20260925-010322-greg-0008,design/papers/BLUEPRINT-4.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-5.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-6.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-7.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-8.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-9.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-KEY.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,changes-paint,content
