round,session,date,mode,undo,legs,commands,best_score,furthest_stage,ended,stage,points,available,share,entered_at_command,commands_in_stage
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,01-duffy,5,5,1,0,31
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,02-station,6,6,1,31,74
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,03-village,0,12,0,105,134
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,04-day1-end,0,3,0,,0
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,05-day2,0,25,0,,0
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,06-plato,0,22,0,,0
7,r7-click-fullA,2026-09-25,click,1,1,239,11,03-village,open,07-factory,0,7,0,,0
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,01-duffy,5,5,1,0,37
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,02-station,6,6,1,37,129
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,03-village,6,12,0.5,166,112
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,04-day1-end,0,3,0,,0
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,05-day2,0,25,0,,0
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,06-plato,0,22,0,,0
7,r7-click-fullB,2026-09-25,click,1,1,278,17,03-village,open,07-factory,0,7,0,,0
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,01-duffy,5,5,1,0,30
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,02-station,6,6,1,30,138
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,03-village,11,12,0.917,168,259
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,04-day1-end,0,3,0,,0
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,05-day2,0,25,0,,0
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,06-plato,0,22,0,,0
7,r7-typed-full,2026-09-25,typed,1,2,427,22,03-village,open,07-factory,0,7,0,,0
