date,hour,agent,model,calls,fresh_input,cached_input,cache_write,output,reasoning_output
2026-09-24,19,greg,gpt-5.6-sol,4,44083,100224,0,1242,313
2026-09-24,19,norm-main,claude-opus-5-5,15,42,1168084,90595,5384,828
2026-09-24,19,norm-subagents,claude-opus-5-5,110,220,8293590,475814,5932,40
2026-09-24,20,greg,gpt-5.6-sol,49,198338,6295552,0,29707,7293
2026-09-24,20,norm-main,claude-opus-5-5,133,278,38636602,306701,126509,23859
2026-09-24,20,norm-subagents,claude-opus-5-5,289,578,53226708,802943,53427,11432
2026-09-24,21,greg,gpt-5.6-sol,106,197334,13063040,0,45051,13594
2026-09-24,21,norm-main,claude-opus-5-5,83,188,42524746,154429,69678,14944
2026-09-24,21,norm-subagents,claude-opus-5-5,948,1896,221886716,3705684,381321,44728
2026-09-24,22,greg,gpt-5.6-sol,18,22780,3137280,0,4869,1318
2026-09-24,22,greg,gpt-6-astra,13,197613,2394880,0,2480,33
2026-09-24,22,norm-main,claude-opus-5-5,65,150,40316462,68058,34023,8024
2026-09-24,22,norm-subagents,claude-opus-5-5,867,1750,196391917,3341360,37532,4838
2026-09-24,23,greg,gpt-6-astra,110,77299,11338112,0,12084,574
2026-09-24,23,norm-main,claude-opus-5-5,49,106,33748486,63029,32078,7944
2026-09-24,23,norm-subagents,claude-opus-5-5,231,462,50020833,899469,34637,1800
2026-09-25,00,greg,gpt-5.6-sol,44,258720,4477568,0,11706,1715
2026-09-25,00,norm-main,claude-opus-5-5,39,98,29133325,69772,33921,6627
2026-09-25,00,norm-subagents,claude-opus-5-5,1308,2618,205978268,2054699,75948,10188
2026-09-25,01,greg,gpt-5.6-sol,61,107017,10614400,0,25244,9803
2026-09-25,01,norm-main,claude-opus-5-5,63,162,52066734,77549,41959,9900
2026-09-25,01,norm-subagents,claude-opus-5-5,942,1884,242853159,1594550,72879,20102
2026-09-25,02,greg,gpt-5.6-sol,12,42337,397568,0,759,7
2026-09-25,02,norm-main,claude-opus-5-5,4,10,3466791,9674,2682,793
2026-09-25,02,norm-subagents,claude-opus-5-5,73,146,25125931,190791,13385,8384
2026-09-25,03,greg,gpt-5.6-sol,12,5090,468736,0,750,0
2026-09-25,04,greg,gpt-5.6-sol,12,4954,502784,0,750,0
2026-09-25,05,greg,gpt-5.6-sol,33,84636,2434816,0,9745,1334
2026-09-25,05,norm-main,claude-opus-5-5,28,66,24242421,885074,22937,4909
2026-09-25,05,norm-subagents,claude-opus-5-5,163,326,16973804,488621,40920,7540
2026-09-25,06,greg,gpt-5.6-sol,58,367024,9955968,0,21170,5663
2026-09-25,06,norm-main,claude-opus-5-5,83,198,41196498,131342,57280,9677
2026-09-25,06,norm-subagents,claude-opus-5-5,391,782,48495434,1165581,90603,15843
2026-09-25,07,greg,gpt-5.6-sol,67,157519,6972672,0,26093,7729
2026-09-25,07,norm-main,claude-opus-5-5,101,236,19122453,149526,60040,10089
2026-09-25,07,norm-subagents,claude-opus-5-5,1175,2350,114215415,1908829,98378,29041
2026-09-25,08,greg,gpt-5.6-sol,74,201055,10466816,0,34544,11494
2026-09-25,08,norm-main,claude-opus-5-5,71,180,21967309,109009,47739,6284
2026-09-25,08,norm-subagents,claude-opus-5-5,1354,2708,204460885,2174582,85310,10411
2026-09-25,09,greg,gpt-5.6-sol,117,228784,14737792,0,45909,15645
2026-09-25,09,norm-main,claude-opus-5-5,79,226,32719304,89933,36076,3641
2026-09-25,09,norm-subagents,claude-opus-5-5,1734,3468,314218889,2542341,96130,14039
2026-09-25,10,greg,gpt-5.6-sol,79,189462,11307648,0,24573,7395
2026-09-25,10,norm-main,claude-opus-5-5,82,208,42257941,107489,44779,6777
2026-09-25,10,norm-subagents,claude-opus-5-5,2564,5130,381400636,2918417,92789,21700
2026-09-25,11,greg,gpt-5.6-sol,29,35989,4307840,0,10657,4315
2026-09-25,11,norm-main,claude-opus-5-5,23,62,13658699,38947,16273,1361
2026-09-25,11,norm-subagents,claude-opus-5-5,522,1044,126919213,1357853,82485,17110
